# cmd=/home/david/dev/mricom/bin/analogdaq args=NULL Mricom v0.1
# timestamp=2020-06-18 19:21:09.786924
TIME	RESP	PULSOX	ECG
2.135	-0.025	0.048	-0.035
2.140	-0.025	0.049	-0.034
2.145	-0.024	0.049	-0.035
2.150	-0.024	0.049	-0.034
2.155	-0.025	0.049	-0.033
2.160	-0.023	0.050	-0.033
2.165	-0.024	0.050	-0.034
2.170	-0.023	0.050	-0.033
2.175	-0.023	0.050	-0.033
2.180	-0.023	0.050	-0.033
2.185	-0.023	0.051	-0.033
2.190	-0.022	0.051	-0.033
2.195	-0.022	0.051	-0.033
2.200	-0.022	0.051	-0.032
2.205	-0.022	0.051	-0.032
2.210	-0.022	0.051	-0.032
2.215	-0.022	0.051	-0.032
2.220	-0.022	0.052	-0.031
2.225	-0.021	0.052	-0.031
2.230	-0.021	0.051	-0.031
2.235	-0.021	0.052	-0.031
2.240	-0.022	0.053	-0.031
2.245	-0.021	0.052	-0.031
2.250	-0.021	0.052	-0.031
2.255	-0.021	0.053	-0.031
2.260	-0.020	0.053	-0.030
2.265	-0.021	0.053	-0.030
2.270	-0.020	0.053	-0.029
2.275	-0.021	0.053	-0.029
2.280	-0.020	0.053	-0.030
2.285	-0.020	0.054	-0.029
2.290	-0.020	0.054	-0.029
2.295	-0.020	0.054	-0.029
2.300	-0.019	0.054	-0.029
2.305	-0.019	0.054	-0.029
2.310	-0.019	0.054	-0.029
2.315	-0.019	0.055	-0.029
2.320	-0.018	0.054	-0.028
2.325	-0.018	0.055	-0.028
2.330	-0.018	0.055	-0.028
2.335	-0.018	0.055	-0.029
2.340	-0.018	0.055	-0.028
2.345	-0.018	0.055	-0.028
2.350	-0.018	0.055	-0.028
2.355	-0.018	0.056	-0.027
2.360	-0.018	0.056	-0.027
2.365	-0.018	0.056	-0.027
2.370	-0.017	0.056	-0.027
2.375	-0.018	0.056	-0.027
2.380	-0.018	0.056	-0.027
2.385	-0.017	0.057	-0.027
2.390	-0.017	0.057	-0.026
2.395	-0.017	0.057	-0.026
2.400	-0.016	0.056	-0.026
2.405	-0.016	0.057	-0.026
2.410	-0.017	0.057	-0.026
2.415	-0.016	0.057	-0.026
2.420	-0.016	0.057	-0.026
2.425	-0.016	0.058	-0.026
2.430	-0.016	0.057	-0.026
2.435	-0.016	0.058	-0.025
2.440	-0.015	0.058	-0.025
2.445	-0.015	0.058	-0.025
2.450	-0.016	0.058	-0.026
2.455	-0.015	0.058	-0.025
2.460	-0.015	0.058	-0.025
2.465	-0.015	0.058	-0.025
2.470	-0.015	0.058	-0.025
2.475	-0.015	0.058	-0.025
2.480	-0.015	0.058	-0.025
2.485	-0.015	0.058	-0.025
2.490	-0.014	0.058	-0.024
2.495	-0.014	0.059	-0.024
2.500	-0.014	0.058	-0.024
2.505	-0.014	0.059	-0.024
2.510	-0.014	0.059	-0.024
2.515	-0.014	0.059	-0.024
2.520	-0.014	0.060	-0.023
2.525	-0.014	0.059	-0.024
2.530	-0.014	0.060	-0.023
2.535	-0.013	0.060	-0.023
2.540	-0.014	0.060	-0.023
2.545	-0.014	0.061	-0.023
2.550	-0.013	0.060	-0.023
2.555	-0.014	0.060	-0.023
2.560	-0.013	0.060	-0.023
2.565	-0.013	0.060	-0.022
2.570	-0.013	0.060	-0.023
2.575	-0.013	0.060	-0.023
